hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
黑,hēi,"black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing)","他喜欢穿黑色的衣服。","tā xǐhuan chuān hēisè de yīfu.","He likes to wear black clothes.","天黑了，我们回家吧。","tiān hēi le, wǒmen huí jiā ba.","It's dark, let's go home."
家人,jiārén,"household; (one's) family","我的家人都支持我。","wǒ de jiārén dōu zhīchí wǒ.","My family members all support me.","他很爱他的家人。","tā hěn ài tā de jiārén.","He loves his family very much."
忘记,wàngjì,"to forget","我忘记带钥匙了。","wǒ wàngjì dài yàoshi le.","I forgot to bring the keys.","请不要忘记我们的约定。","qǐng bùyào wàngjì wǒmen de yuēdìng.","Please don't forget our appointment."
当年,dāngnián,"in those days; then; in those years; during that time","想当年，我们还很年轻。","xiǎng dāngnián, wǒmen hái hěn niánqīng.","Thinking back to those days, we were still very young.","他讲述了当年的故事。","tā jiǎngshù le dāngnián de gùshi.","He recounted the stories of those years."
偷,tōu,"to steal; to pilfer; to snatch; thief; stealthily","他的钱包被偷了。","tā de qiánbāo bèi tōu le.","His wallet was stolen.","小偷被抓住了。","xiǎotōu bèi zhuā zhù le.","The thief was caught."
超,chāo,"to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-","我们的产品质量超好。","wǒmen de chǎnpǐn zhìliàng chāo hǎo.","Our product quality is super good.","这辆车超速了。","zhè liàng chē chāosù le.","This car exceeded the speed limit."
道歉,dàoqiàn,"to apologize","你应该向他道歉。","nǐ yīnggāi xiàng tā dàoqiàn.","You should apologize to him.","我为我的错误向你道歉。","wǒ wèi wǒ de cuòwù xiàng nǐ dàoqiàn.","I apologize to you for my mistake."
舒服,shūfu,"comfortable; feeling well","这张沙发坐着很舒服。","zhè zhāng shāfā zuò zhe hěn shūfu.","This sofa is very comfortable to sit on.","我今天身体不太舒服。","wǒ jīntiān shēntǐ bù tài shūfu.","I'm not feeling very well today."
讲话,jiǎnghuà,"a speech; to speak; to talk; to address; CL:個|个[ge4]","请注意听他讲话。","qǐng zhùyì tīng tā jiǎnghuà.","Please listen carefully to his speech/talk.","他在会议上讲了话。","tā zài huìyì shàng jiǎng le huà.","He spoke at the meeting."
成功,chénggōng,"success; to succeed; CL:次[ci4],個|个[ge4]","祝你成功！","zhù nǐ chénggōng!","Wish you success!","经过努力，他终于成功了。","jīngguò nǔlì, tā zhōngyú chénggōng le.","After hard work, he finally succeeded."
片,piàn,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; Kangxi radical 91","请给我一片面包。","qǐng gěi wǒ yī piàn miànbāo.","Please give me a slice of bread.","这部片子很好看。","zhè bù piānzi hěn hǎokàn.","This film/movie is very good."
吓,xià,"to frighten; to scare","你吓了我一跳。","nǐ xià le wǒ yī tiào.","You scared me / made me jump.","别害怕，这只是个玩具，吓不着你。","bié hàipà, zhè zhǐshì ge wánjù, xià bù zháo nǐ.","Don't be afraid, this is just a toy, it won't scare you."
这位,zhèwèi,"this (person)","这位是我的老师。","zhè wèi shì wǒ de lǎoshī.","This is my teacher.","请问这位先生贵姓？","qǐngwèn zhè wèi xiānsheng guìxìng?","Excuse me, what is this gentleman's surname?"
闹,nào,"noisy; cacophonous; to make noise; to disturb; to vent (feelings); to fall ill; to have an attack (of sickness); to go in (for some activity); to joke","孩子们在房间里闹得很厉害。","háizi men zài fángjiān lǐ nào de hěn lìhai.","The children are making a lot of noise in the room.","别跟我闹了。","bié gēn wǒ nào le.","Stop joking/messing with me."
戴,dài,"to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support","他戴着一顶帽子。","tā dài zhe yī dǐng màozi.","He is wearing a hat.","天冷了，记得戴手套。","tiān lěng le, jìde dài shǒutào.","It's cold, remember to wear gloves."
礼物,lǐwù,"gift; present; CL:件[jian4],個|个[ge4],份[fen4]","这是我送给你的礼物。","zhè shì wǒ sòng gěi nǐ de lǐwù.","This is the gift I'm giving you.","谢谢你的礼物，我很喜欢。","xièxie nǐ de lǐwù, wǒ hěn xǐhuan.","Thank you for your gift, I like it very much."
日子,rìzi,"day; a (calendar) date; days of one's life","今天是什么日子？","jīntiān shì shénme rìzi?","What day is it today?","他过着幸福的日子。","tā guò zhe xìngfú de rìzi.","He lives a happy life."
怎么回事,zěnmehuíshì,"what's the matter?; what's going on?; how could that be?; how did that come about?; what's it all about?","这里怎么回事？这么乱！","zhèlǐ zěnmehuíshì? zhème luàn!","What's going on here? It's so messy!","他今天没来，怎么回事？","tā jīntiān méi lái, zěnmehuíshì?","He didn't come today, what's the matter?"
容易,róngyì,"easy; likely; liable (to)","这个问题不容易回答。","zhège wèntí bù róngyì huídá.","This question is not easy to answer.","他很容易生气。","tā hěn róngyì shēngqì.","He gets angry easily."
多久,duōjiǔ,"how long?","你在这里待了多久？","nǐ zài zhèlǐ dāi le duōjiǔ?","How long have you stayed here?","从这里到机场要多久？","cóng zhèlǐ dào jīchǎng yào duōjiǔ?","How long does it take to get to the airport from here?"
要不然,yàobùrán,"otherwise; or else; or","快点走，要不然就迟到了。","kuài diǎn zǒu, yàobùrán jiù chídào le.","Hurry up, otherwise you'll be late.","你最好听我的，要不然会后悔的。","nǐ zuìhǎo tīng wǒ de, yàobùrán huì hòuhuǐ de.","You'd better listen to me, or else you'll regret it."
见面,jiànmiàn,"to meet; to see each other; CL:次[ci4]","我们什么时候见面？","wǒmen shénme shíhou jiànmiàn?","When shall we meet?","很高兴再次与你见面。","hěn gāoxìng zàicì yǔ nǐ jiànmiàn.","Very happy to meet you again."
句,jù,"sentence; clause; phrase; classifier for phrases or lines of verse","请用这个词造一个句子。","qǐng yòng zhège cí zào yī ge jùzi.","Please make a sentence using this word.","他说的话，句句在理。","tā shuō de huà, jù jù zài lǐ.","Every sentence he said makes sense."
面前,miànqián,"in front of; facing; (in the) presence (of)","他站在我面前。","tā zhàn zài wǒ miànqián.","He is standing in front of me.","不要在孩子面前吵架。","bùyào zài háizi miànqián chǎojià.","Don't quarrel in front of the children."
无法,wúfǎ,"unable; incapable","我无法理解他的行为。","wǒ wúfǎ lǐjiě tā de xíngwéi.","I am unable to understand his behavior.","由于天气原因，飞机无法起飞。","yóuyú tiānqì yuányīn, fēijī wúfǎ qǐfēi.","Due to weather reasons, the plane is unable to take off."
来看,láikàn,"to come and see; to see a topic from a certain point of view","有空常来看我。","yǒu kòng cháng láikàn wǒ.","Come and see me often when you are free.","从长远来看，这个决定是正确的。","cóng chángyuǎn láikàn, zhège juédìng shì zhèngquè de.","Seen from a long-term perspective, this decision is correct."
嫁,jià,"(of a woman) to marry; to marry off a daughter; to shift (blame etc)","她去年嫁给了一个好男人。","tā qùnián jià gěi le yī ge hǎo nánrén.","She married a good man last year.","他把女儿嫁到了国外。","tā bǎ nǚ'ér jià dào le guówài.","He married his daughter off abroad."
大人,dàren,"adult; grownup; title of respect toward superiors","小孩子要听大人的话。","xiǎo háizi yào tīng dàren de huà.","Children should listen to adults.","大人，请息怒！","dàren, qǐng xīnù!","My lord/Sir, please calm down! (Archaic)"
梦,mèng,"dream; CL:場|场[chang2],個|个[ge4]; (bound form) to dream","我昨天做了一个奇怪的梦。","wǒ zuótiān zuò le yī ge qíguài de mèng.","I had a strange dream yesterday.","实现梦想需要努力。","shíxiàn mèngxiǎng xūyào nǔlì.","Realizing dreams requires effort."
东,dōng,"east; host (i.e. sitting on east side of guest); landlord","太阳从东边升起。","tàiyáng cóng dōngbian shēng qǐ.","The sun rises from the east.","今天我做东，请大家吃饭。","jīntiān wǒ zuò dōng, qǐng dàjiā chīfàn.","Today I'll be the host, I invite everyone to eat."
也许,yěxǔ,"perhaps; maybe","他也许已经走了。","tā yěxǔ yǐjīng zǒu le.","Perhaps he has already left.","也许明天会下雨。","yěxǔ míngtiān huì xià yǔ.","Maybe it will rain tomorrow."
号,hào,"ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people","今天是几月几号？","jīntiān shì jǐ yuè jǐ hào?","What is the date today?","请排队取号。","qǐng páiduì qǔ hào.","Please queue up to get a number."
趟,tàng,"classifier for times, round trips or rows; a time; a trip","我今天去了一趟超市。","wǒ jīntiān qù le yī tàng chāoshì.","I made a trip to the supermarket today.","这趟火车是去北京的。","zhè tàng huǒchē shì qù Běijīng de.","This train trip is to Beijing."
紧张,jǐnzhāng,"nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhen4]","考试前我很紧张。","kǎoshì qián wǒ hěn jǐnzhāng.","I was very nervous before the exam.","最近工作很紧张。","zuìjìn gōngzuò hěn jǐnzhāng.","Work has been very intense recently."
高兴,gāoxìng,"happy; glad; willing (to do sth); in a cheerful mood","见到你很高兴。","jiàndào nǐ hěn gāoxìng.","Very happy to see you.","他高兴地笑了。","tā gāoxìng de xiào le.","He laughed happily."
不怕,bùpà,"fearless; not worried (by setbacks or difficulties); even if; even though","困难再大也不怕。","kùnnan zài dà yě bùpà.","No matter how big the difficulties are, we are not afraid.","不怕慢，就怕站。","bùpà màn, jiù pà zhàn.","Don't fear being slow, fear stopping altogether."
讨厌,tǎoyàn,"to dislike; to loathe; disagreeable; troublesome; annoying","我讨厌撒谎的人。","wǒ tǎoyàn sāhuǎng de rén.","I dislike people who lie.","这种天气真讨厌。","zhè zhǒng tiānqì zhēn tǎoyàn.","This kind of weather is really annoying."
害怕,hàipà,"to be afraid; to be scared","他害怕一个人在家。","tā hàipà yī ge rén zài jiā.","He is afraid of being home alone.","别害怕，有我在。","bié hàipà, yǒu wǒ zài.","Don't be scared, I am here."
一种,yīzhǒng,"one kind of; one type of","这是新发明的一种机器。","zhè shì xīn fāmíng de yīzhǒng jīqì.","This is one kind of newly invented machine.","他给了我一种奇怪的感觉。","tā gěi le wǒ yīzhǒng qíguài de gǎnjué.","He gave me a strange kind of feeling."
一辈子,yībèizi,"(for) a lifetime","我会爱你一辈子。","wǒ huì ài nǐ yī bèizi.","I will love you for a lifetime.","这件事我记了一辈子。","zhè jiàn shì wǒ jì le yī bèizi.","I have remembered this matter for my whole life."
饿,è,"to be hungry; hungry; to starve (sb)","我饿了，想吃饭。","wǒ è le, xiǎng chīfàn.","I'm hungry, I want to eat.","别饿着孩子。","bié è zhe háizi.","Don't let the child go hungry."
刚好,gānghǎo,"just; exactly; to happen to be","你来得刚好，我们正要吃饭。","nǐ lái de gānghǎo, wǒmen zhèng yào chīfàn.","You've come at just the right time, we were just about to eat.","这件衣服不大不小，刚好合身。","zhè jiàn yīfu bù dà bù xiǎo, gānghǎo héshēn.","This piece of clothing is not too big, not too small, it fits just right."
好看,hǎokàn,"good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated","这件衣服很好看。","zhè jiàn yīfu hěn hǎokàn.","This piece of clothing looks very nice.","这部电影很好看。","zhè bù diànyǐng hěn hǎokàn.","This movie is very good."
